Original,Traduzido
Intussusception,Intussuscepção
Iodism,Iodismo
Iridocyclitis,Iridociclite
Iris adhesions,Adesões de íris
Iris disorder,Transtorno da íris
Iris hyperpigmentation,Iris Hiperpigmentation
Iritis,Irite
Iron binding capacity total,Capacidade de ligação de ferro total
Iron deficiency,Deficiência de ferro
Iron deficiency anaemia,Anemia de deficiência de ferro
Iron overload,Sobrecarga de ferro
Irreversible renal failure,Insuficiência renal irreversível
Irritability,Irritabilidade
Irritable bowel syndrome,Síndrome do intestino irritável
Irritation gum,Chiclete de irritação
Ischaemia,Isquemia
Ischaemic cardiomyopathy,Cardiomiopatia isquêmica
Ischaemic cerebral infarction,Infarto cerebral isquêmico
Ischaemic coronary artery disorders,Distúrbios da artéria coronária isquêmica
Ischaemic hepatitis,Hepatite isquêmica
Ischaemic neuropathy,Neuropatia isquêmica
Ischaemic stroke,Derrame isquêmico
Ischial neuralgia,Neuralgia isquial
Itch burning,Coceira ardente
Itchy scalp,Coceira no couro cabeludo
Jarisch-Herxheimer reaction,Reação de Jarisch-Herxheimer
Jaundice,Icterícia
Jaundice cholestatic,Icterícia colestática
Jaundice hepatocellular,Icterícia hepatocelular
Jaundice neonatal,Icterícia neonatal
Jaw disorder,Transtorno da mandíbula
Jaw stiffness,Rigidez da mandíbula
Jerky movement NOS,Movimento Jerky nos
Jessner's lymphocytic infiltration,Infiltração linfocítica de Jessner
Joint contracture,Contratura conjunta
Joint crepitation,Crepitação conjunta
Joint dislocation,Localização conjunta
Joint effusion,Efusão articular
Joint hyperextension,Hiperextensão conjunta
Joint injury,Lesão conjunta
Joint instability,Instabilidade conjunta
Joint lock,Trava da junta
Joint range of motion decreased,A amplitude de movimento conjunta diminuiu
Joint related signs and symptoms,Sinais e sintomas relacionados
Joint sprain,Entorse articular
Joint stiffness,Rigidez da articulação
Joint swelling,Inchaço conjunto
Judgement impaired,Julgamento prejudicado
Junctional bradycardia,Bradicardia juncional
Junctional tachycardia,Taquicardia juncional
Juvenile idiopathic arthritis,Artrite idiopática juvenil
Kaposi's sarcoma,Sarcoma de Kaposi
Kaposi's varicelliform eruption,Erupção variceliforme de Kaposi
Kearns-Sayre syndrome,Síndrome de Kearns-Sayre
Keloid scar,Cicatriz quelóide
Keratic precipitates,Precipitados queráticos
Keratitis,Ceratite
Keratitis sicca,Ceratite sicca
Keratoacanthoma,Keratoacanthoma
Keratoconjunctivitis,Queratoconjuntivite
Keratoconjunctivitis sicca,Keratoconjuntivitis sicca
Keratoconus,Ceratoconus
Keratopathy,Ceratopatia
Keratosis,Queratose
Keratosis pilaris,Ceratose pilar
Ketoacidosis,Cetoacidose
Ketogenic diet,Dieta cetogênica
Ketonemia,Cetonemia
Ketonuria,Cetonúria
Ketosis,Cetose
Kidney fibrosis,Fibrose renal
Kidney function abnormal,Função renal anormal
Kidney infection,Infecção renal
Klebsiella sepsis,Sepse de Klebsiella
Klinefelter's syndrome,Síndrome de Klinefelter
Knee deformity,Deformidade do joelho
Knee pain,Dor no joelho
Knee sprain,Entorse do joelho
Koebner phenomenon,Fenômeno de Kebner
Korsakoff's psychosis (non-alcoholic),Psicose de Korsakoff (não alcoólica)
Kounis syndrome,Síndrome de Kounis
Kyphosis,Cifose
Labile blood pressure,Pressão arterial lábil
Labile hypertension,Hipertensão lábil
Laboratory test abnormal,Teste de laboratório anormal
Labored breathing,Respiração trabalhada
Labyrinthine disorder,Transtorno labirinto
Labyrinthitis,Labiríntite
Laceration,Laceração
Lack of drug effect,Falta de efeito de drogas
Lack of spontaneous speech,Falta de discurso espontâneo
Lacrimal disorder,Transtorno lacrimal
Lacrimal duct obstruction,Obstrução do duto lacrimal
Lacrimal gland disorder,Transtorno da glândula lacrimal
Lacrimal structural disorder,Transtorno estrutural lacrimal
Lacrimation,Lacrimação
Lacrimation abnormal NOS,Lacrimação nº anormal nos
Lacrimation decreased,A lacrimação diminuiu
Lacrimation increased,A lacrimação aumentou
Lactase deficiency,Deficiência de lactase
Lactate increased,O lactato aumentou
Lactation female,Fêmea de lactação
Lactic acidosis,Acidose lática
Lactic acidosis syndrome,Síndrome da acidose lática
Lactic dehydrogenase activity increased,A atividade da desidrogenase lática aumentou
Lactose intolerance,Intolerância à lactose
Lacunar infarction,Infarto do lacunar
Langerhans' cell histiocytosis,Histiocitose de células de Langerhans
Large intestinal haemorrhage,Grande hemorragia intestinal
Large intestinal obstruction,Obstrução intestinal grande
Large intestinal ulcer,Ulcer intestinal grande
Large intestine perforation,PERFORAÇÃO INTESTO GRANDE
Large intestine polyp,Pólipo do intestino grosso
Laryngeal cancer,Câncer de laringe
Laryngeal disorder,Transtorno da laringe
Laryngeal dystonia,Distonia laríngea
Laryngeal haemorrhage,Hemorragia laríngea
Laryngeal neoplasm,Neoplasia laríngea
Laryngeal oedema,Edema laríngeo
Laryngeal pain,Dor laringe
Laryngitis,Laringite
Laryngopharyngeal dysesthesia,Disestesia laringofaríngea
Laryngopharyngitis,Laringofaringite
Laryngospasm,Laringospasmo
Laryngotracheal oedema,Edema laringraqueal
Lassitude,Lassitude
Latent tetany,Tetania latente
Latent tuberculosis,Tuberculose latente
Latex allergy,Alergia ao látex
Learning disability,Dificuldade de aprendizagem
Learning disorder,Transtorno da aprendizagem
Left ventricular dysfunction,Disfunção ventricular esquerda
Left ventricular ejection fraction decreased,A fração de ejeção do ventrículo esquerdo diminuiu
Left ventricular failure,Falha do ventrículo esquerdo
Left ventricular hypertrophy,Hipertrofia do ventrículo esquerdo
Leg edema,Edema da perna
Leg pain,Dor na perna
Leg ulcer,Úlcera da perna
Leiomyoma,Leiomioma
Lenticular opacities,Opacidades lenticulares
Lenticular pigmentation,Pigmentação lenticular
Lentigo,Lentigo
Leriche syndrome,Síndrome de Leriche
Lethargy,Letargia
Leukaemia,Leucemia
Leukaemia cutis,Leucemia Cutis
Leukaemoid reaction,Reação leukaemóide
Leukemia secondary,Leucemia secundária
Leukocytoclastic vasculitis,Vasculite leucocitoclástica
Leukocytosis,Leucocitose
Leukoderma,Leucoderma
Leukoencephalopathy,Leucoencefalopatia
Leukonychia,Leuconychia
Leukopenia,Leucopenia
Leukoplakia,Leukoplakia
Leukoplakia oral,Leucoplasia oral
Leukorrhea,Leucorréia
Leukostasis,Leucostase
Lhermitte's sign,O sinal de Lhermitte
Libido decreased,A libido diminuiu
Libido disorder,Transtorno da libido
Libido increased,A libido aumentou
Lichen planus,Lichen Planus
Lichenification,Liquenificação
Lichenoid keratosis,A queratose liquenóide
Lid sulcus deepened,Sulcus da tampa se aprofundou
Ligament injury,Lesão do ligamento
Ligament sprain,Entorse do ligamento
Light anaesthesia,Anestesia leve
Lightheadedness,Tardete
Limb deformity,Deformidade do membro
Limb discomfort,Desconforto do membro
Limb injury,Lesão por membro
Limb malformation,Malformação do membro
Limb paresis,Paresis de membro
Limb reduction defect,Defeito de redução de membros
Linear IgA disease,Doença Linear IgA
Lip blister,Blister lábio
Lip burning sensation of,Sensação de queima labial de
Lip dry,Seco do lábio
Lip haemorrhage,Hemorragia labial
Lip oedema,Edema labial
Lip pain,Dor labial
Lip swelling,Inchaço labial
Lip ulceration,Ulceração labial
Lipase abnormal,Lipase anormal
Lipase increased,Lipase aumentou
Lipid metabolism disorder,Transtorno do metabolismo lipídico
Lipidosis,Lipidose
Lipids abnormal,Lipídios anormais
Lipids increased,Lipídios aumentaram
Lipoatrophy,Lipoatrofia
Lipodystrophy,Lipodistrofia
Lipodystrophy acquired,Lipodistrofia adquirida
Lipoedema,Lipoedema
Lipohypertrophy,Lipo -hipertrofia
Lipoid nephrosis,Nefrose lipóide
Lipoma,Lipoma
Lipomatosis,Lipomatose
Listeriosis,Listeriose
Lithium poisoning,Envenenamento por lítio
Lithium toxicity,Toxicidade de lítio
Livedo reticularis,LiveDo reticularis
Liver abscess,Abscesso de fígado
Liver disorder,Transtorno do fígado
Liver fatty,Fígado gordo
Liver fatty deposition,Deposição gordurosa do fígado
Liver function test abnormal,Teste de função fígado anormal
Liver function test normal,Teste de função fígado Normal
Liver injury,Lesão hepática
Liver nodule,Nódulo de fígado
Liver tenderness,Ternura do fígado
Lividity,Lividity
Lobar pneumonia,Pneumonia de lobar
Local reaction,Reação local
Local swelling,Inchaço local
Local throat irritation,Irritação local na garganta
Localised infection,Infecção localizada
Localised intraabdominal fluid collection,Coleção de líquidos intraabdominais localizados
Localised numbness,Dormência localizada
Localised oedema,Edema localizado
Localised skin reaction,Reação da pele localizada
Localized erythema,Eritema localizado
Localized exfoliation,Esfoliação localizada
Localized osteoarthritis,Osteoartrite localizada
Localized rash,Erupção cutânea localizada
Lockjaw,Lockjaw
Loeffler's syndrome,Síndrome de Loeffler
Logorrhoea,Logorrhoea
Loin pain,Dor de lombo
Long QT syndrome,Síndrome do QT longo
Long QT syndrome congenital,Síndrome do QT longo congênito
Long-term memory loss,Perda de memória de longo prazo
Loose stools,Bancos soltos
Lordosis,Lordose
Loss of confidence,Perda de confiança
Loss of consciousness,Perda de consciência
Loss of control of legs,Perda de controle das pernas
Loss of libido,Perda de libido
Loss of proprioception,Perda de propriocepção
Loss of skin markings,Perda de marcações de pele
Low back pain,Dor lombar
Low birth weight baby,Bebê de baixo peso ao nascer
Low density lipoprotein increased,A lipoproteína de baixa densidade aumentou
Low pH,PH baixo
Low set ears,Orelhas baixas
Lower gastrointestinal haemorrhage,Hemorragia gastrointestinal inferior
Lower limb fracture,Fratura do membro inferior
Lower respiratory tract infection,Infecção do trato respiratório inferior
Lower urinary tract symptoms,Sintomas do trato urinário inferior
Lumbar disc lesion,Lesão do disco lombar
Lumbar puncture headache,Dor de cabeça de punção lombar
Lumbar radiculopathy,Radiculopatia lombar
Lung abscess,Abscesso pulmonar
Lung adenocarcinoma stage I,Adenocarcinoma de pulmão estágio I
Lung cancer metastatic,Câncer de pulmão metastático
Lung disorder,Transtorno pulmonar
Lung fibrosis interstitial,Fibrose pulmonar intersticial
Lung infection,Infecção pulmonar
Lung infiltration,Infiltração pulmonar
Lung neoplasm,Neoplasia pulmonar
Lung neoplasm malignant,Neoplasia pulmonar maligna
Lung nodule,Nódulo pulmonar
Lupus erythematosus,Lúpus eritematoso
Lupus-like syndrome,Síndrome do tipo lúpus
Lyme disease,Doença de Lyme
Lymph node abscess,Abscesso de linfonodo
Lymph node pain,Dor linfonodal
Lymph node tenderness,Sensibilidade de linfonodo
Lymphadenitis,Linfadenite
Lymphadenopathy,Linfadenopatia
Lymphadenopathy axillary,Linfadenopatia axilar
Lymphadenopathy cervical,Linfadenopatia cervical
Lymphadenopathy inguinal,Linfadenopatia inguinal
Lymphangioleiomyomatosis,Linfangioleiomomatose
Lymphangitis,Linfangite
Lymphatic disorder,Transtorno linfático
Lymphocele,Linfocele
Lymphocyte abnormal,Linfócitos anormais
Lymphocyte count abnormal,Contagem de linfócitos anormais
Lymphocyte count decreased,A contagem de linfócitos diminuiu
Lymphocyte count increased,A contagem de linfócitos aumentou
Lymphocyte transformation test positive,Teste de transformação de linfócitos positivo
Lymphocytic colitis,Colite linfocítica
Lymphocytic infiltration,Infiltração linfocítica
Lymphocytic leukaemia,Leucemia linfocítica
Lymphocytoma cutis,Linfocitoma cutis
Lymphocytosis,Linfocitose
Lymphoedema,Linfedema
Lymphoma,Linfoma
Lymphoma cutis,Linfoma Cutis
Lymphopenia,Linfopenia
Lymphoproliferative disorder,Transtorno linfoproliferativo
Lymphorrhoea,Lymphorrheea
Lymphostasis,Linfostase
Macular degeneration,Degeneração macular
Macular fibrosis,Fibrose macular
Macular hole,Orifício macular
Macular oedema,Edema macular
Macular pigmentation,Pigmentação macular
Macule,Macule
Maculopathy,Maculopatia
Madarosis,MARAROSIS
Major bleed,Grande sangramento
Major depression,Depressão maior
Malabsorption,Malabsorção
Malaise,Mal -estar
Malaise and fatigue,Mal -estar e fadiga
Malaria,Malária
Male orgasmic disorder,Transtorno orgásmico masculino
Male sexual dysfunction,Disfunção sexual masculina
Malformation venous,Malformação venosa
Malignant histiocytosis,Histiocitose maligna
Malignant hypertension,Hipertensão maligna
Malignant melanoma,Melanoma maligno
Malignant mesenchymoma,Mesenquimoma maligno
Malignant neoplasm of pancreas,Neoplasia maligna do pâncreas
Malignant neoplasm of renal pelvis,Neoplasia maligna da pelve renal
Malignant neoplasm progression,Progressão neoplasia maligna
Malignant ovarian cyst,Cisto ovariano maligno
Malignant solid tumour,Tumor sólido maligno
Malignant syndrome NOS,Síndrome maligna nos
Malignant transformation,Transformação maligna
Mallory-Weiss syndrome,Síndrome de Mallory-Weiss
Malnutrition,Desnutrição
Mammogram abnormal,Mamograma anormal
Mania,Mania
Manic episode,Episódio maníaco
Manic psychosis,Psicose maníaca
Mantle cell lymphoma,Linfoma de células do manto
Markedly reduced dietary intake,Ingestão dietética marcadamente reduzida
Marrow hyperplasia,Hiperplasia da medula
Masked facies,Fácies mascaradas
Mass,Massa
Mastication disorder,Transtorno de mastigação
Mastitis,Mastite
Mastitis acute female,Mastite fêmea aguda
Mastitis male,Mastite masculino
Mastocytosis,Mastocitose
Mastoiditis,Mastoidite
Mean arterial pressure,Pressão arterial média
Mean arterial pressure decreased,A pressão arterial média diminuiu
Mean cell volume increased,O volume médio de células aumentou
Mean platelet volume decreased,O volume médio de plaquetas diminuiu
Measles,Sarampo
Mechanical complication of implant,Complicação mecânica do implante
Mechanical urticaria,Urticária mecânica
Mediastinal disorder,Transtorno mediastinal
Mediastinitis,Mediastinite
Mediastinum neoplasm,Neoplasia no mediastino
Medical device complication,Complicação do dispositivo médico
Medical device discomfort,Desconforto de dispositivo médico
Medication overuse headache,Medicação Over USUse Dor de cabeça
Medication residue,Resíduo de medicamentos
Medication residue present,Resíduo de medicamentos presentes
Megacolon,Megacolon
Megacolon toxic,Megacolon tóxico
Meibomianitis,Meibomianite
Melaena,Melaena
Melancholia,Melancolia
Melanocytic naevus,Naevus melanocítico
Melanoderma,Melanoderma
Melanoma skin,Pele de melanoma
Melanonychia,Melanonychia
Melanosis,Melanose
Memory impairment,Comprometimento da memória
Memory loss,Perda de memória
Menarche,Menarca
Mendelson's syndrome,Síndrome de Mendelson
Meniere's disease,Doença de Meniere
Meniere's disease aggravated,A doença de Meniere agravou
Meningioma,Meningioma
Meningioma benign,Meningioma benigno
Meningism,Meningismo
Meningitis,Meningite
Meningitis aseptic,Meningite asséptica
Meningitis bacterial,Meningite bacteriana
Meningitis chemical,Meningite Chemical
Meningitis cryptococcal,Meningite criptocócica
Meningitis viral,Meningite viral
Meningocele,Meningocele
Meningoencephalitis,Meningoencefalite
Meningoencephalitis herpetic,Meningoencefalite herpética
Meningomyelocele,Meningomielocele
Menometrorrhagia,Menometrorragia
Menopausal disorder,Transtorno da menopausa
Menopausal symptoms,Sintomas da menopausa
Menopause,Menopausa
Menorrhagia,Menorragia
Menstrual cycle abnormal,Ciclo menstrual anormal
Menstrual cycle prolonged,Ciclo menstrual prolongado
Menstrual disorder,Transtorno menstrual
Menstruation delayed,Menstruação atrasada
Menstruation irregular,Menstruação irregular
Mental aberration,Aberração mental
Mental deficiency,Deficiência mental
Mental disability,Incapacidade mental
Mental disorder,Transtorno mental
Mental disorder due to a general medical condition,Transtorno mental devido a uma condição médica geral
Mental impairment disorders,Distúrbios de deficiência mental
Mental retardation,Retardo mental
Mental state abnormal,Estado mental anormal
Mental status changes,Mudanças de estado mental
Mesenteric artery thrombosis,Trombose da artéria mesentérica
Mesenteric ischemia,Isquemia mesentérica
Mesenteric occlusion,Oclusão mesentérica
Mesenteric vascular insufficiency,Insuficiência vascular mesentérica
Mesothelioma,Mesotelioma
Metabolic acidosis,Acidose metabólica
Metabolic alkalosis,Alcalose metabólica
Metabolic disorder,Transtorno metabólico
Metabolic encephalopathy,Encefalopatia metabólica
Metabolic syndrome,Síndrome metabólica
Metal poisoning,Envenenamento por metal
Metaphyseal dysplasia,Displasia metafisária
Metaplasia,Metaplasia
Metastases to central nervous system,Metástases para o sistema nervoso central
Metastases to liver,Metástases para o fígado
Metastases to peritoneum,Metástases ao peritônio
Metastases to spine,Metástases para coluna
Metastasis,Metástase
Metastatic carcinoma,Carcinoma metastático
Metastatic disease,Doença metastática
Metastatic malignant melanoma,Melanoma maligno metastático
Metastatic melanoma,Melanoma metastático
Metastatic neoplasm,Neoplasia metastática
Metastatic pain,Dor metastática
Metastatic renal cell carcinoma,Carcinoma de células renais metastático
Methaemoglobinaemia,Metaemoglobinaemia
Methicillin-resistant Staphylococcus aureus infection,Infecção por Staphylococcus aureus resistente à meticilina
Metrorrhagia,Metrororragia
Mg reduced,Mg reduzido
Mg++ increased,Mg ++ aumentou
Microalbuminuria,Microalbuminúria
Microangiopathic haemolytic anaemia,Anemia hemolítica microangiopática
Microangiopathy,Microangiopatia
Microcephaly,Microcefalia
Microcytic,Microcítico
Microcytic anaemia,Anemia microcítica
Microcytosis,Microcitose
Microembolism,Microembolismo
Microhemorrhage,Microhemorragia
Microscopic hematuria,Hematúria microscópica
Microsomia,Microsomia
Micturition burning,Micurição queima
Micturition disorder,Transtorno da micção
Micturition urgency,Urgência de micção
Middle ear effusion,Efusão da orelha média
Middle insomnia,Insônia média
Midsystolic click,Midsystolic Click
Migraine,Enxaqueca
Migraine aggravated,Enxaqueca agravada
Migraine without aura,Enxaqueca sem aura
Migration of implant,Migração do implante
Milia,Milia
Miliaria,Miliaria
Miliaria rubra,Miliaria Rubra
Mineralocorticoid deficiency,Deficiência de mineralocorticóide
Minor bleed,Menor sangramento
Miosis,Miose
Mitochondrial toxicity,Toxicidade mitocondrial
Mitral valve disease,Doença da válvula mitral
Mitral valve incompetence,Incompetência da válvula mitral
Mixed connective tissue disease,Doença do tecido conjuntivo misto
Mixed liver injury,Lesão hepática mista
Moaning,Gemendo
Mobility decreased,A mobilidade diminuiu
Molluscum contagiosum,Molusco contagioso
Monarthritis,Monartrite
Moniliasis genital female,MONILIASIS FEMANHA GENAL
Monoclonal gammopathy,Gamopatia monoclonal
Monocyte count decreased,A contagem de monócitos diminuiu
Monocyte count increased,A contagem de monócitos aumentou
Monocytosis,Monocitose
Monomorphic ventricular tachycardia,Taquicardia ventricular monomórfica
Mononeuritis,Mononeurite
Mononeuropathy,Mononeuropatia
Monoparesis,Monoparesia
Monoplegia,Monoplegia
Mood alteration NOS,Alteração de humor Nos
Mood alterations with depressive symptoms,Alterações de humor com sintomas depressivos
Mood swings,Mudanças de humor
Morbid dreams,Sonhos mórbidos
Morbid thoughts,Pensamentos mórbidos
Morphoea,Morphoea
Mosquito bite,Picada de mosquito
Motion sickness,Doença de movimento
Motor dysfunction,Disfunção motor
Motor neurone disease,Doença do neurônio motor
Motor restlessness,Inquietação do motor
Motor tic,Tique motor
Mouth haemorrhage,Hemorragia na boca
Mouth injury,Lesão na boca
Mouth irritation,Irritação na boca
Mouth ulceration,Ulceração da boca
Movement disorder,Transtorno do movimento
Movements involuntary,Movimentos involuntários
Mucocutaneous candidiasis,Candidíase mucocutânea
Mucormycosis,Mucormicose
Mucosal atrophy,Atrofia da mucosa
Mucosal bleeding,Sangramento da mucosa
Mucosal discolouration,Descoloração da mucosa
Mucosal dryness,Secura da mucosa
Mucosal erosion,Erosão da mucosa
Mucosal excoriation,Excoriação da mucosa
Mucosal haemorrhage,Hemorragia da mucosa
Mucosal inflammation,Inflamação da mucosa
Mucosal pigmentation,Pigmentação da mucosa
Mucosal swelling,Inchaço da mucosa
Mucosal ulceration,Ulceração da mucosa
Mucous membrane disorder,Transtorno da membrana mucosa
Mucous stools,Fezes mucosas
Multi-organ failure,Falha de vários órgãos
Multifocal atrial tachycardia,Taquicardia atrial multifocal
Multifocal motor neuropathy,Neuropatia motora multifocal
Multifocal ventricular tachycardia,Taquicardia ventricular multifocal
Multiparous,Multípara
Multiple allergies,Múltiplas alergias
Multiple congenital abnormalities,Múltiplas anormalidades congênitas
Multiple fractures,Múltiplas fraturas
Multiple pregnancy,Gravidez múltipla
Multiple sclerosis,Esclerose múltipla
Multiple sclerosis exacerbation,Esclerose múltipla exacerbação
Multiple sclerosis relapse,Recaída de esclerose múltipla
Muscle atrophy,Atrofia muscular
Muscle contractions involuntary,Contrações musculares involuntárias
Muscle contracture,Contratura muscular
Muscle damage,Dano muscular
Muscle enzyme increased,A enzima muscular aumentou
Muscle fatigue,Fadiga muscular
Muscle fibrosis,Fibrose muscular
Muscle haemorrhage,Hemorragia muscular
Muscle injury,Lesão muscular
Muscle mass,Massa muscular
Muscle movement involuntary,Movimento muscular involuntário
Muscle necrosis,Necrose muscular
Muscle relaxant therapy,Terapia relaxante muscular
Muscle relaxation,Relaxamento muscular
Muscle rigidity,Rigidez muscular
Muscle rupture,Ruptura muscular
Muscle spasms,Espasmos musculares
Muscle spasticity,Espasticidade muscular
Muscle stiffness,Rigidez muscular
Muscle strain,Tensão muscular
Muscle swelling,Inchaço muscular
Muscle tightness,Tensão muscular
Muscle tone disorder,Transtorno do tônus ​​muscular
Muscle tone flaccid,Tom muscular flácido
Muscle twitching,Muscle Twitching
Muscular incoordination,Incoordenação muscular
Muscular ventricular septal defect,Defeito septal ventricular muscular
Muscular weakness,Fraqueza muscular
Musculoskeletal chest pain,Dor no peito musculoesquelético
Musculoskeletal deformity,Deformidade músculo -esquelética
Musculoskeletal discomfort,Desconforto musculoesquelético
Musculoskeletal disorder,Transtorno músculo -esquelético
Musculoskeletal pain,Dor musculoesquelética
Musculoskeletal stiffness,Rigidez musculoesquelética
Mutism,Mutismo
Myalgia,Mialgia
Myasthenia,Miastenia
Myasthenia gravis,Miastenia gravis
Myasthenia gravis-like syndrome,Síndrome de Miastenia gravis
Myasthenic syndrome,Síndrome miastênica
Mycobacterial infection,Infecção micobacteriana
Mycobacterium avium complex infection,Infecção do complexo mycobacterium avium
Mycobacterium test,Teste de Mycobacterium
Mycosis fungoides,Micose FunGoides
Mydriasis,Midríase
Myelitis,Mielite
Myelitis transverse,Mielite transversal
Myelodysplasia,Mielodisplasia
Myelodysplastic syndrome,Síndrome mielodisplásica
Myelodysplastic syndrome transformation,Transformação da síndrome mielodisplásica
Myelofibrosis,Mielofibrose
Myeloid leukaemia,Leucemia mielóide
Myeloid metaplasia,Metaplasia mielóide
Myeloproliferative disorder,Transtorno mieloproliferativo
Myelosuppression,Mielossupressão
Myocardial depression,Depressão do miocárdio
Myocardial disorder,Transtorno do miocárdio
Myocardial haemorrhage,Hemorragia miocárdica
Myocardial hypertrophy,Hipertrofia miocárdica
Myocardial infarction,Infarto do miocárdio
Myocardial ischaemia,Isquemia do miocárdio
Myocardial necrosis,Necrose miocárdica
Myocardial reinfarction,Reinfarto do miocárdio
Myocardial rupture,Ruptura do miocárdio
Myocarditis,Miocardite
Myoclonic epilepsy,Epilepsia mioclônica
Myoclonus,Mioclonia
Myofascial pain syndrome,Síndrome da dor miofascial
Myoglobin urine present,Urina de mioglobina presente
Myoglobinaemia,Mioglobinaemia
Myoglobinuria,Mioglobinúria
Myopathy,Miopatia
Myopathy toxic,Miopatia tóxica
Myopericarditis,Miopericardite
Myopia,Miopia
Myopia transient,Miopia transitória
Myositis,Miosite
Myotonia,Miotonia
Myringitis,Miringite
Myxoedema,Myxoedema
N-acetylglutamate synthase deficiency,Deficiência de N-acetilglutamato sintase
NPN increased,NPN aumentou
Nail abnormality NOS,Anormalidade das unhas Nos
Nail bed infection,Infecção por canteiro de unhas
Nail bed tenderness,Sensibilidade da cama de unha
Nail changes,Mudanças de unhas
Nail discolouration,Descoloração da unha
Nail discomfort,Desconforto de unhas
Nail disorder,Transtorno da unha
Nail dystrophy,Distrofia de unhas
Nail hypertrophy,Hipertrofia da unha
Nail infection,Infecção por unhas
Nail longitudinal striations,Estrias longitudinais da unha
Nail pigmentation,Pigmentação da unha
Nail ridging,Ridring de unhas
Nail thinning,Desbaste da unha
Nail toxicity,Toxicidade da unha
Narcolepsy,Narcolepsia
Nasal burning,Queima nasal
Nasal congestion,Congestão nasal
Nasal discomfort,Desconforto nasal
Nasal disorder,Transtorno nasal
Nasal dryness,Secura nasal
Nasal inflammation,Inflamação nasal
Nasal irritation,Irritação nasal
Nasal itching,Coceira nasal
Nasal mucosal disorder,Transtorno da mucosa nasal
Nasal mucosal erythema,Eritema da mucosa nasal
Nasal mucus blood tinged,Sangue nasal de muco tingido
Nasal obstruction,Obstrução nasal
Nasal odour,Odor nasal
Nasal oedema,Edema nasal
Nasal pain,Dor nasal
Nasal passage irritation,Irritação na passagem nasal
Nasal polyps,Pólipos nasais
Nasal septum deviation,Desvio nasal do septo
Nasal septum disorder,Transtorno do septo nasal
Nasal septum perforation,Perfuração nasal do septo
Nasal septum ulceration,Ulceração nasal do septo
Nasal sinus drainage,Drenagem nasal do seio
Nasal soreness,Doridade nasal
Nasal ulcer,Úlcera nasal
Nasopharyngeal cancer,Câncer nasofaríngeo
Nasopharyngeal carcinoma,Carcinoma nasofaríngeo
Nasopharyngeal disorder,Transtorno nasofaríngeo
Nasopharyngitis,Nasofaringite
Nausea,Náusea
Nausea aggravated,Náusea agravou
Nausea alone,Náusea sozinha
Nausea postoperative,Náusea pós -operatório
Neck injury,Lesão no pescoço
Neck oedema of,Edema do pescoço de
Neck pain,Dor no pescoço
Neck stiffness,Rigidez do pescoço
Neck swelling,Inchaço do pescoço
Neck tightness,Aperto no pescoço
Necrolysis epidermal,Epidérmica da necrólise
Necrosis,Necrose
Necrosis ischaemic,Necrose isquêmica
Necrotising colitis,Colite necrosante
Necrotising enterocolitis neonatal,Necrosante enterocolite neonatal
Necrotising fasciitis,Fascite necrosante
Necrotizing enterocolitis,Enterocolite necrosante
Needle injury,Lesão por agulha
Negativism,Negativismo
Neisseria infection,Infecção por Neisseria
Neonatal and infancy disorder,Distúrbio neonatal e infantil
Neonatal disorder,Transtorno neonatal
Neonatal hyponatraemia,Hiponatremia neonatal
Neonatal infection,Infecção neonatal
Neonatal tachypnoea,TACHYPNOEA NEONATAL
Neoplasm,Neoplasia
Neoplasm malignant,Neoplasia maligna
Neoplasm malignant aggravated,Neoplasia maligna agravada
Neoplasm progression,Progressão da neoplasia
Neoplasm prostate,Próstata da neoplasia
Neoplasm recurrence,Recorrência da neoplasia
Neoplasm skin,Pele neoplasma
Nephritic syndrome,Síndrome nefrítica
Nephritis,Nefrite
Nephritis interstitial,Nefrite intersticial
Nephrocalcinosis,Nefrocalcinose
Nephrogenic diabetes insipidus,Diabetes insipidus nefrogênico
Nephrogenic systemic fibrosis,Fibrose sistêmica nefrogênica
Nephrolithiasis,Nefrolitíase
Nephropathy,Nefropatia
Nephropathy toxic,Nefropatia tóxica
Nephrosclerosis,Nefrosclerose
Nephrosis,Nefrose
Nephrosis lower nephron,Nefrose inferior néfron
Nephrotic syndrome,Síndrome nefrótica
Nephrotoxicity,Nefrotoxicidade
Nerve compression,Compressão nervosa
Nerve conduction studies abnormal,Estudos de condução nervosa anormais
Nerve injury,Lesão nervosa
Nerve paralysis,Paralisia do nervo
Nerve root lesion,Lesão da raiz nervosa
Nervous system disorder,Transtorno do sistema nervoso
Nervous tremulousness,Trêmula nervosa
Nervousness,Nervosismo
Netherton's syndrome,Síndrome de Netherton
Nettle rash,Erupção cutânea
Neural hearing loss,Perda auditiva neural
Neural tube defect,Defeito no tubo neural
Neuralgia,Neuralgia
Neuritis,Neurite
Neuritis retrobulbar,Neurite Retrobulbar
Neurodermatitis,Neurodermatite
Neuroectodermal neoplasm,Neoplasia neuroectodérmica
Neurofibroma,Neurofibroma
Neurofibromatosis,Neurofibromatose
Neurogenic bladder,Bexiga neurogênica
Neuroglycopenia,Neuroglicopenia
Neuroleptic malignant syndrome,Síndrome dos malignos neurolépticos
Neurologic reaction,Reação neurológica
Neurological disorders NEC,Distúrbios neurológicos NEC
Neurological examination abnormal,Exame neurológico anormal
Neurological impairment,Comprometimento neurológico
